frame_index,timestamp_ms,width,height,gap_ms
288,13651,480,640,52
289,13687,480,640,36
290,13734,480,640,46
291,13767,480,640,33
292,13806,480,640,39
293,13849,480,640,43
294,13896,480,640,46
295,13935,480,640,39
296,13977,480,640,42
297,14028,480,640,50
298,14061,480,640,32
299,14098,480,640,37
300,14147,480,640,48
301,14183,480,640,35
302,14228,480,640,45
303,14268,480,640,39
304,14309,480,640,41
305,14349,480,640,39
306,14389,480,640,40
307,14434,480,640,45
308,14491,480,640,57
309,14530,480,640,38
310,14563,480,640,33
311,14605,480,640,42
312,14647,480,640,42
313,14685,480,640,37
314,14730,480,640,44
315,14772,480,640,41
316,14809,480,640,37
317,14850,480,640,40
318,14893,480,640,43
319,14933,480,640,40
320,14979,480,640,45
321,15018,480,640,39
322,15060,480,640,42
323,15098,480,640,38
324,15152,480,640,53
325,15196,480,640,44
326,15227,480,640,30
327,15269,480,640,41
328,15312,480,640,43
329,15350,480,640,37
330,15397,480,640,46
331,15440,480,640,43
332,15480,480,640,40
333,15514,480,640,33
334,15563,480,640,48
335,15598,480,640,35
336,15636,480,640,37
337,15686,480,640,50
338,15740,480,640,54
339,15769,480,640,28
340,15805,480,640,36
341,15847,480,640,42
342,15893,480,640,45
343,15932,480,640,39
344,15975,480,640,42
345,16017,480,640,42
346,16057,480,640,39
347,16099,480,640,41
348,16141,480,640,42
349,16183,480,640,41
350,16226,480,640,43
351,16269,480,640,42
352,16313,480,640,44
353,16350,480,640,37
354,16393,480,640,42
355,16438,480,640,44
356,16477,480,640,39
357,16515,480,640,38
358,16559,480,640,43
359,16600,480,640,41
360,16642,480,640,41
361,16683,480,640,41
362,16727,480,640,43
363,16767,480,640,40
364,16814,480,640,46
365,16852,480,640,37
366,16898,480,640,45
367,16937,480,640,39
368,16978,480,640,41
369,17017,480,640,38
370,17062,480,640,45
371,17106,480,640,43
372,17143,480,640,36
373,17185,480,640,41
374,17231,480,640,46
375,17268,480,640,36
376,17315,480,640,47
377,17355,480,640,39
378,17398,480,640,43
379,17436,480,640,37
380,17481,480,640,44
381,17517,480,640,36
382,17558,480,640,40
383,17605,480,640,47
384,17642,480,640,37
385,17708,480,640,65
386,17735,480,640,27
387,17767,480,640,31
388,17813,480,640,45
389,17854,480,640,40
390,17898,480,640,44
391,17935,480,640,36
392,17983,480,640,47
393,18040,480,640,56
394,18059,480,640,18
395,18094,480,640,35
396,18130,480,640,35
397,18159,480,640,28
398,18199,480,640,40
399,18226,480,640,26
400,18260,480,640,34
401,18291,480,640,30
402,18325,480,640,33
403,18354,480,640,28
404,18384,480,640,29
405,18423,480,640,39
406,18464,480,640,40
407,18489,480,640,24
408,18518,480,640,29
409,18556,480,640,38
410,18585,480,640,28
411,18623,480,640,38
412,18653,480,640,30
413,18692,480,640,38
414,18721,480,640,28
415,18753,480,640,32
416,18789,480,640,35
417,18820,480,640,30
418,18856,480,640,36
419,18890,480,640,34
420,18918,480,640,28
421,18951,480,640,32
422,18989,480,640,37
423,19018,480,640,29
424,19058,480,640,40
425,19101,480,640,42
426,19126,480,640,25
427,19154,480,640,28
428,19185,480,640,31
429,19222,480,640,37
430,19252,480,640,30
431,19284,480,640,31
432,19325,480,640,40
433,19357,480,640,32
434,19386,480,640,28
435,19420,480,640,33
436,19453,480,640,32
437,19488,480,640,35
438,19519,480,640,30
439,19558,480,640,38
440,19591,480,640,33
441,19619,480,640,28
442,19651,480,640,32
443,19692,480,640,40
444,19725,480,640,32
445,19763,480,640,38
446,19805,480,640,42
447,19829,480,640,24
448,19857,480,640,28
449,19891,480,640,33
450,19920,480,640,29
451,19954,480,640,33
452,19989,480,640,35
453,20018,480,640,28
454,20054,480,640,35
455,20087,480,640,32
456,20122,480,640,35
457,20169,480,640,47
458,20209,480,640,39
459,20252,480,640,43
460,20294,480,640,41
461,20343,480,640,49
462,20373,480,640,30
463,20418,480,640,44
464,20459,480,640,40
465,20503,480,640,44
466,20542,480,640,38
467,20585,480,640,43
468,20627,480,640,42
469,20668,480,640,41
470,20707,480,640,38
471,20747,480,640,40
472,20792,480,640,44
473,20836,480,640,44
474,20874,480,640,37
475,20919,480,640,45
476,20967,480,640,48
477,20995,480,640,27
478,21027,480,640,31
479,21061,480,640,33
480,21093,480,640,31
481,21127,480,640,34
482,21165,480,640,37
483,21191,480,640,26
484,21227,480,640,35
485,21272,480,640,45
486,21299,480,640,26
487,21331,480,640,32
488,21370,480,640,38
489,21393,480,640,22
490,21433,480,640,40
491,21458,480,640,25
492,21492,480,640,33
493,21527,480,640,35
494,21559,480,640,31
495,21597,480,640,37
496,21626,480,640,28
497,21666,480,640,40
498,21692,480,640,25
499,21723,480,640,30
500,21773,480,640,50
501,21803,480,640,29
502,21832,480,640,29
503,21866,480,640,33
504,21900,480,640,34
505,21935,480,640,34
506,21963,480,640,28
507,21999,480,640,35
508,22036,480,640,36
509,22061,480,640,24
510,22090,480,640,28
511,22138,480,640,48
512,22161,480,640,22
513,22198,480,640,37
514,22230,480,640,32
515,22261,480,640,30
516,22290,480,640,29
517,22327,480,640,37
518,22364,480,640,36
519,22394,480,640,30
520,22442,480,640,48
521,22466,480,640,23
522,22496,480,640,30
523,22529,480,640,32
524,22564,480,640,35
525,22606,480,640,41
526,22630,480,640,23
527,22665,480,640,35
528,22697,480,640,31
529,22731,480,640,34
530,22762,480,640,31
531,22798,480,640,35
532,22832,480,640,33
533,22859,480,640,27
534,22890,480,640,31
535,22935,480,640,44
536,22967,480,640,31
537,22996,480,640,29
538,23035,480,640,38
539,23064,480,640,29
540,23091,480,640,26
541,23142,480,640,51
542,23176,480,640,33
543,23201,480,640,25
544,23234,480,640,32
545,23265,480,640,30
546,23310,480,640,44
547,23334,480,640,24
548,23362,480,640,27
549,23398,480,640,36
550,23443,480,640,45
551,23464,480,640,21
552,23494,480,640,29
553,23532,480,640,38
554,23560,480,640,28
555,23600,480,640,40
556,23634,480,640,33
557,23664,480,640,29
558,23699,480,640,35
559,23724,480,640,25
560,23768,480,640,43
561,23797,480,640,28
562,23832,480,640,35
563,23862,480,640,30
564,23901,480,640,38
565,23945,480,640,43
566,23963,480,640,18
567,23995,480,640,31
568,24034,480,640,39
569,24066,480,640,31
570,24095,480,640,29
571,24146,480,640,51
572,24167,480,640,20
573,24195,480,640,28
574,24231,480,640,36
575,24270,480,640,38
576,24299,480,640,29
577,24329,480,640,30
578,24364,480,640,35
579,24402,480,640,37
580,24439,480,640,37
581,24470,480,640,30
582,24503,480,640,33
583,24535,480,640,32
584,24570,480,640,34
585,24606,480,640,35
586,24640,480,640,34
587,24671,480,640,31
588,24709,480,640,37
589,24742,480,640,32
590,24773,480,640,31
591,24801,480,640,27
592,24843,480,640,42
593,24874,480,640,30
594,24900,480,640,25
595,24940,480,640,40
596,24982,480,640,42
597,25000,480,640,17
598,25033,480,640,33
599,25072,480,640,38
600,25108,480,640,36
601,25133,480,640,24
602,25164,480,640,31
603,25209,480,640,44
604,25244,480,640,35
605,25271,480,640,26
606,25295,480,640,24
607,25343,480,640,47
608,25369,480,640,25
609,25408,480,640,39
610,25437,480,640,29
611,25469,480,640,31
612,25504,480,640,35
613,25543,480,640,38
614,25578,480,640,34
615,25612,480,640,33
616,25642,480,640,30
617,25673,480,640,31
618,25708,480,640,34
619,25741,480,640,33
620,25774,480,640,32
621,25810,480,640,35
622,25843,480,640,33
